sca,wavelength,field_point,local_x,local_y,global_x,global_y,axis_local_angle_x,axis_local_angle_y,wfe_rms_waves,wfe_pv_waves,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22
1,1.131,2,-20.44,20.44,-42.58,32.59,-0.134,-0.099,0.07718957,0.38765171,0.12334148,-0.03645928,0.02045857,0.07121323,0.01451639,-0.01911111,0.00935962,-0.01397637,-0.00432777,0.00263344,0.00082731,-0.0004837,-0.0004326,-0.00004056,-0.00001628,-0.00058684,0.00115546,-0.00000052,0.00019052,0.0000026,-0.00000048,0.00068738
1,1.131,3,-20.44,-20.44,-42.58,-8.29,-0.134,0.025,0.04725001,0.27256592,0.06684806,-0.02766846,0.01683517,0.0378892,0.01420192,-0.01755592,0.00867879,-0.01086419,-0.00818779,0.00478666,0.0002776,-0.00088886,-0.00056183,-0.00006901,-0.0000325,-0.00058448,0.00148167,0.00000028,0.00018731,0.00000236,0.00000032,0.000686
1,1.131,4,20.44,-20.44,-1.7,-8.29,-0.008,0.024,0.05121943,0.31081674,0.07517299,-0.00377837,0.02295502,0.04273822,0.01601925,-0.01812897,0.01084273,-0.00180207,-0.00934899,-0.00048697,0.0003109,-0.00094699,-0.00008333,-0.00007735,0.00001069,-0.00024961,0.00148186,-0.00000237,0.00018666,0.00000345,0.00000038,0.00068624
1,1.131,5,20.44,20.44,-1.7,32.59,-0.008,-0.099,0.08449272,0.43371535,0.13795819,-0.00384949,0.02497671,0.07970046,0.01575852,-0.01964009,0.0109573,-0.00182464,-0.00524022,-0.00039835,0.00086499,-0.0005432,-0.00007224,-0.00004381,0.00000666,-0.00024822,0.00115565,-0.0000021,0.00019,0.00000328,-0.00000051,0.00068762
1,1.293,1,0,0,-22.14,12.15,-0.071,-0.037,0.05689325,0.31615165,0.08879548,-0.01629573,0.02238036,0.05100918,0.01311258,-0.01677499,0.01003743,-0.00643873,-0.00594562,0.00143172,0.00052267,-0.00062554,-0.00025066,-0.00005057,-0.00000684,-0.00036495,0.00115465,-0.00000104,0.0001651,0.00000256,-0.00000003,0.00060073
1,1.293,2,-20.44,20.44,-42.58,32.59,-0.134,-0.099,0.06784184,0.34030342,0.10850355,-0.03190246,0.01788191,0.06264576,0.01267439,-0.01671691,0.00818223,-0.01222924,-0.00378555,0.00230483,0.00072324,-0.00042312,-0.0003784,-0.00003547,-0.00001423,-0.00051332,0.0010107,-0.00000045,0.00016665,0.00000227,-0.00000042,0.00060127
1,1.293,3,-20.44,-20.44,-42.58,-8.29,-0.134,0.025,0.04159893,0.2384417,0.05905326,-0.0242132,0.01472306,0.03347668,0.01241564,-0.01535985,0.00759046,-0.00950703,-0.00716195,0.00418826,0.00024237,-0.0007775,-0.00049141,-0.00006035,-0.00002844,-0.00051126,0.00129605,0.00000025,0.00016385,0.00000206,0.00000028,0.00060005
1,1.293,4,20.44,-20.44,-1.7,-8.29,-0.008,0.024,0.04508626,0.27304415,0.06635595,-0.00330585,0.02007609,0.03773019,0.01400134,-0.01585213,0.00948325,-0.0015766,-0.00817768,-0.00042469,0.00027152,-0.00082834,-0.00007289,-0.00006766,0.00000935,-0.00021834,0.00129622,-0.00000208,0.00016327,0.00000302,0.00000033,0.00060027
1,1.293,5,20.44,20.44,-1.7,32.59,-0.008,-0.099,0.07424772,0.38057472,0.12130953,-0.00336805,0.02183406,0.07008154,0.0137718,-0.0171707,0.00957977,-0.00159635,-0.00458364,-0.00034716,0.00075622,-0.00047515,-0.00006319,-0.00003832,0.00000582,-0.00021712,0.00101087,-0.00000183,0.00016619,0.00000287,-0.00000044,0.00060147
1,1.454,1,0,0,-22.14,12.15,-0.071,-0.037,0.05087555,0.28222009,0.07951557,-0.01449662,0.01989494,0.04567939,0.01164883,-0.01491517,0.00892344,-0.00572766,-0.00528727,0.00127433,0.00046443,-0.00055628,-0.0002229,-0.00004497,-0.00000608,-0.00032455,0.00102681,-0.00000092,0.00014682,0.00000227,-0.00000003,0.00053422
1,1.454,2,-20.44,20.44,-42.58,32.59,-0.134,-0.099,0.06061966,0.30371498,0.09704026,-0.02837984,0.01588992,0.05602681,0.01125031,-0.01486609,0.00727201,-0.01087862,-0.00336639,0.0020508,0.00064279,-0.00037629,-0.00033651,-0.00003154,-0.00001266,-0.00045649,0.00089879,-0.0000004,0.0001482,0.00000202,-0.00000038,0.00053469
1,1.454,3,-20.44,-20.44,-42.58,-8.29,-0.134,0.025,0.03723447,0.21254487,0.05303449,-0.02154213,0.01309024,0.03006963,0.01103471,-0.01366222,0.00674909,-0.00845789,-0.00636893,0.00372567,0.00021514,-0.00069142,-0.00043698,-0.00005366,-0.00002529,-0.00045466,0.00115255,0.00000022,0.0001457,0.00000183,0.00000025,0.00053361
