====
Starting job 2058606 at Tue 28 Apr 01:09:55 BST 2020 for user dc-rope1.
Running on nodes: m7396
====
1999
Job done, info follows...
       JobID    JobName  Partition     MaxRSS    Elapsed ExitCode 
------------ ---------- ---------- ---------- ---------- -------- 
2058606_1000 FLARES-py+     cosma7              00:00:07      0:0 
2058606_120+      batch                     0   00:00:09      0:0 
2058606_120+     extern                  251K   00:00:09      0:0 
2058606_121  FLARES-py+     cosma7              00:00:03      0:0 
2058606_121+      batch                     0   00:00:03      0:0 
2058606_121+     extern                  123K   00:00:03      0:0 
2058606_122  FLARES-py+     cosma7              00:00:06      0:0 
2058606_122+      batch                     0   00:00:06      0:0 
2058606_122+     extern                  127K   00:00:07      0:0 
2058606_123  FLARES-py+     cosma7              00:00:06      0:0 
2058606_123+      batch                     0   00:00:06      0:0 
2058606_123+     extern                  127K   00:00:07      0:0 
2058606_124  FLARES-py+     cosma7              00:00:07      0:0 
2058606_124+      batch                     0   00:00:07      0:0 
2058606_124+     extern                  123K   00:00:07      0:0 
2058606_125  FLARES-py+     cosma7              00:00:07      0:0 
2058606_125+      batch                     0   00:00:07      0:0 
2058606_125+     extern                  123K   00:00:07      0:0 
2058606_126  FLARES-py+     cosma7              00:00:07      0:0 
2058606_126+      batch                     0   00:00:07      0:0 
2058606_126+     extern                  260K   00:00:07      0:0 
2058606_127  FLARES-py+     cosma7              00:00:07      0:0 
2058606_127+      batch                     0   00:00:07      0:0 
2058606_127+     extern                  127K   00:00:07      0:0 
2058606_128  FLARES-py+     cosma7              00:00:07      0:0 
2058606_128+      batch                     0   00:00:07      0:0 
2058606_128+     extern                  123K   00:00:07      0:0 
2058606_129  FLARES-py+     cosma7              00:00:06      0:0 
2058606_129+      batch                     0   00:00:06      0:0 
2058606_129+     extern                  257K   00:00:06      0:0 
2058606_130  FLARES-py+     cosma7              00:00:06      0:0 
2058606_130+      batch                     0   00:00:06      0:0 
2058606_130+     extern                  127K   00:00:06      0:0 
2058606_131  FLARES-py+     cosma7              00:00:06      0:0 
2058606_131+      batch                     0   00:00:06      0:0 
2058606_131+     extern                  123K   00:00:06      0:0 
2058606_132  FLARES-py+     cosma7              00:00:06      0:0 
2058606_132+      batch                     0   00:00:06      0:0 
2058606_132+     extern                  260K   00:00:06      0:0 
2058606_133  FLARES-py+     cosma7              00:00:08      0:0 
2058606_133+      batch                     0   00:00:08      0:0 
2058606_133+     extern                  123K   00:00:08      0:0 
2058606_134  FLARES-py+     cosma7              00:00:07      0:0 
2058606_134+      batch                     0   00:00:07      0:0 
2058606_134+     extern                  127K   00:00:07      0:0 
2058606_135  FLARES-py+     cosma7              00:00:03      0:0 
2058606_135+      batch                     0   00:00:03      0:0 
2058606_135+     extern                  147K   00:00:03      0:0 
2058606_136  FLARES-py+     cosma7              00:00:07      0:0 
2058606_136+      batch                     0   00:00:07      0:0 
2058606_136+     extern                  250K   00:00:07      0:0 
2058606_137  FLARES-py+     cosma7              00:00:03    127:0 
2058606_137+      batch                     0   00:00:03    127:0 
2058606_137+     extern                  123K   00:00:03      0:0 
2058606_138  FLARES-py+     cosma7              00:00:07      0:0 
2058606_138+      batch                     0   00:00:07      0:0 
2058606_138+     extern                  193K   00:00:07      0:0 
2058606_139  FLARES-py+     cosma7              00:00:07      0:0 
2058606_139+      batch                     0   00:00:07      0:0 
2058606_139+     extern                  213K   00:00:07      0:0 
2058606_140  FLARES-py+     cosma7              00:00:07      0:0 
2058606_140+      batch                     0   00:00:07      0:0 
2058606_140+     extern                  127K   00:00:07      0:0 
2058606_141  FLARES-py+     cosma7              00:00:07      0:0 
2058606_141+      batch                     0   00:00:07      0:0 
2058606_141+     extern                  127K   00:00:07      0:0 
2058606_142  FLARES-py+     cosma7              00:00:07      0:0 
2058606_142+      batch                     0   00:00:07      0:0 
2058606_142+     extern                  127K   00:00:07      0:0 
2058606_143  FLARES-py+     cosma7              00:00:08      0:0 
2058606_143+      batch                     0   00:00:08      0:0 
2058606_143+     extern                  252K   00:00:08      0:0 
2058606_144  FLARES-py+     cosma7              00:00:07      0:0 
2058606_144+      batch                     0   00:00:07      0:0 
2058606_144+     extern                  127K   00:00:07      0:0 
2058606_145  FLARES-py+     cosma7              00:00:07      0:0 
2058606_145+      batch                     0   00:00:07      0:0 
2058606_145+     extern                  127K   00:00:07      0:0 
2058606_146  FLARES-py+     cosma7              00:00:07      0:0 
2058606_146+      batch                     0   00:00:07      0:0 
2058606_146+     extern                  123K   00:00:07      0:0 
2058606_147  FLARES-py+     cosma7              00:00:06      0:0 
2058606_147+      batch                     0   00:00:06      0:0 
2058606_147+     extern                  123K   00:00:06      0:0 
2058606_148  FLARES-py+     cosma7              00:00:06      0:0 
2058606_148+      batch                     0   00:00:06      0:0 
2058606_148+     extern                  127K   00:00:07      0:0 
2058606_149  FLARES-py+     cosma7              00:00:06      0:0 
2058606_149+      batch                     0   00:00:06      0:0 
2058606_149+     extern                  123K   00:00:06      0:0 
2058606_150  FLARES-py+     cosma7              00:00:07      0:0 
2058606_150+      batch                     0   00:00:07      0:0 
2058606_150+     extern                  247K   00:00:07      0:0 
2058606_151  FLARES-py+     cosma7              00:00:06      0:0 
2058606_151+      batch                     0   00:00:06      0:0 
2058606_151+     extern                  123K   00:00:06      0:0 
2058606_152  FLARES-py+     cosma7              00:00:06      0:0 
2058606_152+      batch                     0   00:00:06      0:0 
2058606_152+     extern                  127K   00:00:06      0:0 
2058606_153  FLARES-py+     cosma7              00:00:06      0:0 
2058606_153+      batch                     0   00:00:06      0:0 
2058606_153+     extern                  191K   00:00:06      0:0 
2058606_154  FLARES-py+     cosma7              00:00:07      0:0 
2058606_154+      batch                     0   00:00:07      0:0 
2058606_154+     extern                  127K   00:00:07      0:0 
2058606_155  FLARES-py+     cosma7              00:00:03      0:0 
2058606_155+      batch                     0   00:00:03      0:0 
2058606_155+     extern                  127K   00:00:03      0:0 
2058606_156  FLARES-py+     cosma7              00:00:07      0:0 
2058606_156+      batch                     0   00:00:07      0:0 
2058606_156+     extern                  259K   00:00:07      0:0 
2058606_157  FLARES-py+     cosma7              00:00:07      0:0 
2058606_157+      batch                     0   00:00:07      0:0 
2058606_157+     extern                  164K   00:00:07      0:0 
2058606_158  FLARES-py+     cosma7              00:00:07      0:0 
2058606_158+      batch                     0   00:00:07      0:0 
2058606_158+     extern                  250K   00:00:07      0:0 
2058606_159  FLARES-py+     cosma7              00:00:07      0:0 
2058606_159+      batch                     0   00:00:07      0:0 
2058606_159+     extern                  123K   00:00:07      0:0 
2058606_160  FLARES-py+     cosma7              00:00:07      0:0 
2058606_160+      batch                     0   00:00:07      0:0 
2058606_160+     extern                  122K   00:00:07      0:0 
2058606_161  FLARES-py+     cosma7              00:00:07      0:0 
2058606_161+      batch                     0   00:00:07      0:0 
2058606_161+     extern                  127K   00:00:07      0:0 
2058606_162  FLARES-py+     cosma7              00:00:07      0:0 
2058606_162+      batch                     0   00:00:07      0:0 
2058606_162+     extern                  123K   00:00:07      0:0 
2058606_163  FLARES-py+     cosma7              00:00:07      0:0 
2058606_163+      batch                     0   00:00:07      0:0 
2058606_163+     extern                  127K   00:00:08      0:0 
2058606_164  FLARES-py+     cosma7              00:00:07      0:0 
2058606_164+      batch                     0   00:00:07      0:0 
2058606_164+     extern                  127K   00:00:07      0:0 
