====
Starting job 2057605 at Tue 28 Apr 01:01:55 BST 2020 for user dc-rope1.
Running on nodes: m7384
====
999
Need to generate this file
Job done, info follows...
       JobID    JobName  Partition     MaxRSS    Elapsed ExitCode 
------------ ---------- ---------- ---------- ---------- -------- 
2057605_1000 FLARES-py+     cosma7              00:00:04      0:0 
2057605_135+      batch                     0   00:00:15      0:0 
2057605_135+     extern                  192K   00:00:15      0:0 
2057605_136  FLARES-py+     cosma7              00:00:15      0:0 
2057605_136+      batch                     0   00:00:15      0:0 
2057605_136+     extern                  192K   00:00:15      0:0 
2057605_137  FLARES-py+     cosma7              00:00:16      0:0 
2057605_137+      batch                     0   00:00:16      0:0 
2057605_137+     extern                  255K   00:00:16      0:0 
2057605_138  FLARES-py+     cosma7              00:00:15      0:0 
2057605_138+      batch                     0   00:00:15      0:0 
2057605_138+     extern                  224K   00:00:15      0:0 
2057605_139  FLARES-py+     cosma7              00:00:15      0:0 
2057605_139+      batch                     0   00:00:15      0:0 
2057605_139+     extern                  127K   00:00:15      0:0 
2057605_140  FLARES-py+     cosma7              00:00:15      0:0 
2057605_140+      batch                     0   00:00:15      0:0 
2057605_140+     extern                  127K   00:00:15      0:0 
2057605_141  FLARES-py+     cosma7              00:00:15      0:0 
2057605_141+      batch                     0   00:00:15      0:0 
2057605_141+     extern                  123K   00:00:15      0:0 
2057605_142  FLARES-py+     cosma7              00:00:15      0:0 
2057605_142+      batch                     0   00:00:15      0:0 
2057605_142+     extern                  184K   00:00:15      0:0 
2057605_143  FLARES-py+     cosma7              00:00:16      0:0 
2057605_143+      batch                     0   00:00:16      0:0 
2057605_143+     extern                  126K   00:00:16      0:0 
2057605_144  FLARES-py+     cosma7              00:00:15      0:0 
2057605_144+      batch                     0   00:00:15      0:0 
2057605_144+     extern                  260K   00:00:15      0:0 
2057605_145  FLARES-py+     cosma7              00:00:15      0:0 
2057605_145+      batch                     0   00:00:15      0:0 
2057605_145+     extern                  260K   00:00:15      0:0 
2057605_146  FLARES-py+     cosma7              00:00:15      0:0 
2057605_146+      batch                     0   00:00:15      0:0 
2057605_146+     extern                  127K   00:00:15      0:0 
2057605_147  FLARES-py+     cosma7              00:00:15      0:0 
2057605_147+      batch                     0   00:00:15      0:0 
2057605_147+     extern                  198K   00:00:15      0:0 
2057605_148  FLARES-py+     cosma7              00:00:16      0:0 
2057605_148+      batch                     0   00:00:16      0:0 
2057605_148+     extern                  123K   00:00:17      0:0 
2057605_149  FLARES-py+     cosma7              00:00:06      0:0 
2057605_149+      batch                     0   00:00:06      0:0 
2057605_149+     extern                  251K   00:00:06      0:0 
2057605_150  FLARES-py+     cosma7              00:00:06      0:0 
2057605_150+      batch                     0   00:00:06      0:0 
2057605_150+     extern                  249K   00:00:06      0:0 
2057605_151  FLARES-py+     cosma7              00:00:07      0:0 
2057605_151+      batch                     0   00:00:07      0:0 
2057605_151+     extern                  253K   00:00:07      0:0 
2057605_152  FLARES-py+     cosma7              00:00:07      0:0 
2057605_152+      batch                     0   00:00:07      0:0 
2057605_152+     extern                  232K   00:00:07      0:0 
2057605_153  FLARES-py+     cosma7              00:00:07      0:0 
2057605_153+      batch                     0   00:00:07      0:0 
2057605_153+     extern                  122K   00:00:07      0:0 
2057605_154  FLARES-py+     cosma7              00:00:07      0:0 
2057605_154+      batch                     0   00:00:07      0:0 
2057605_154+     extern                  123K   00:00:07      0:0 
2057605_155  FLARES-py+     cosma7              00:00:07      0:0 
2057605_155+      batch                     0   00:00:07      0:0 
2057605_155+     extern                  123K   00:00:07      0:0 
2057605_156  FLARES-py+     cosma7              00:00:07      0:0 
2057605_156+      batch                     0   00:00:07      0:0 
2057605_156+     extern                  127K   00:00:07      0:0 
2057605_157  FLARES-py+     cosma7              00:00:07      0:0 
2057605_157+      batch                     0   00:00:07      0:0 
2057605_157+     extern                  234K   00:00:07      0:0 
2057605_158  FLARES-py+     cosma7              00:00:07      0:0 
2057605_158+      batch                     0   00:00:07      0:0 
2057605_158+     extern                  185K   00:00:07      0:0 
2057605_159  FLARES-py+     cosma7              00:00:07      0:0 
2057605_159+      batch                     0   00:00:07      0:0 
2057605_159+     extern                  197K   00:00:07      0:0 
2057605_160  FLARES-py+     cosma7              00:00:07      0:0 
2057605_160+      batch                     0   00:00:07      0:0 
2057605_160+     extern                  127K   00:00:07      0:0 
2057605_161  FLARES-py+     cosma7              00:00:07      0:0 
2057605_161+      batch                     0   00:00:07      0:0 
2057605_161+     extern                  123K   00:00:07      0:0 
2057605_162  FLARES-py+     cosma7              00:00:06      0:0 
2057605_162+      batch                     0   00:00:06      0:0 
2057605_162+     extern                  127K   00:00:06      0:0 
2057605_163  FLARES-py+     cosma7              00:00:06      0:0 
2057605_163+      batch                     0   00:00:06      0:0 
2057605_163+     extern                  123K   00:00:06      0:0 
2057605_164  FLARES-py+     cosma7              00:00:06      0:0 
2057605_164+      batch                     0   00:00:06      0:0 
